finding,evidence,implication
Dissolved copper is a stronger indicator of cyanide demand than feed copper.,"r(solution Cu, NaCN t/d) = 0.58; r(feed Cu, NaCN t/d) = 0.45",Circuit chemistry appears more sensitive to dissolved copper than to feed assay alone. Solution chemistry should be monitored directly where possible.
Higher dissolved copper is strongly associated with more cyanide tied up in WAD/complexed form.,"r(solution Cu, complexed CN) = 0.99",A large share of added cyanide may be reporting to copper-related complexes rather than remaining available as free cyanide.
Higher dissolved copper tends to coincide with lower free cyanide.,"r(solution Cu, free CN) = -0.39",High-copper periods are likely to require materially higher NaCN addition to maintain the same free CN operating window.
2026 appears materially worse than 2025 on cyanide chemistry.,Solution Cu: 1511.6 -> 3577.9; Complexed CN: 4.96 -> 10.47; Free CN: 513.3 -> 294.6; Recovery: 78.0 -> 67.3,"This later period should be investigated for feed change, soluble copper mineralogy, recycle chemistry, residence time, and operating strategy shifts."
The circuit appears to carry a large WAD/complexed cyanide inventory relative to free cyanide.,Mean free CN inventory = 8.30 t; mean complexed CN inventory = 102.80 t,The cyanide problem is unlikely to be explained by free cyanide alone; complexation load appears to be a major component.
Copper-cyanide stoichiometry indicates high cyanide demand from dissolved copper.,Slope-based CN:Cu molar ratio ≈ 6.65:1; median pointwise CN:Cu ratio ≈ 8.20:1; CN reporting basis assumed = CN.,The data is consistent with copper tying up multiple moles of cyanide per mole of copper. This supports a selectivity-control strategy rather than simply increasing cyanide addition.
"Free cyanide and dissolved oxygen should be managed as an operating window, not as independent maxima.","Best exploratory selectivity window: DO bin (2.421, 3.637]; Free CN bin (446.312, 624.312]; n = 26; median Au recovery = 81.41%; median solution Cu = 776.8 ppm; median WAD CN = 3465.8 ppm; median specific NaCN = 1.028 kg/t.","The operating objective should be to maintain gold dissolution while limiting copper solubilisation, WAD CN formation, and specific NaCN consumption. This directly supports a LeachIT selectivity-window model."
The Free CN × DO interaction is material in at least one diagnostic model.,"nacn_consumption_tpd: coef = -1.138, p = 0.036, R² = 0.545, n = 359",A weak direct DO-recovery correlation should not be interpreted as proof that oxygen is irrelevant. DO should be assessed in combination with cyanide and copper chemistry.
Residence time should remain in the recovery interpretation and LeachIT feature set.,Median residence time ranges from 28.68 h (Spring) to 41.00 h (Winter). Temperature data was not available or not populated.,"Seasonal residence-time adjustment remains a plausible control strategy, but a temperature dataset is required before making a firm winter-kinetics conclusion."
Lagged copper/WAD behaviour should be assessed as a possible recycle or accumulation signal.,"cu_solution_ppm_avg lag 0 records vs specific_nacn_kgpt: r = 0.669, n = 359; complexed_cn_ppm_avg lag 0 records vs specific_nacn_kgpt: r = 0.652, n = 359; wad_cn_ppm_avg lag 0 records vs specific_nacn_kgpt: r = 0.641, n = 359","If lagged Cu or WAD CN predicts future cyanide demand or lower recovery, this supports the recycle or consumption-spiral hypothesis and should be discussed with site in terms of bleed, purge, solution recycle, and copper-removal options."
Dissolved oxygen should not be treated only as a stand-alone recovery driver.,Direct correlations: DO vs recovery r = 0.071; DO vs solution Cu r = -0.078; DO vs WAD CN r = -0.057.,"The report should state that DO does not appear to be the primary stand-alone driver in the available data, but it remains important in combination with free CN, copper dissolution, and residence time."
