sequence_index,period_id,period_label,scheduled_period,scheduled_start,scheduled_finish,pattern_id,pattern_key,pattern_type,pit,mine_area,bench,phase,pushback,source_system,schedule_name,planned_loader,planned_truck_fleet,destination,estimated_tonnes,ore_tonnes,waste_tonnes,average_grade,contained_metal_t,recovered_metal_t,metal,hole_count,drill_metres_m,explosive_kg,powder_factor_kg_m3,powder_factor_kg_t,burden_m,spacing_m,hole_diameter_mm,target_p80_mm,predicted_p50_mm,predicted_p80_mm,predicted_p95_mm,hardness_index,hardness_factor,BWi_kWht,UCS_MPa,Axb,DWi_kWhm3,digability,primary_mineral_domain,primary_lithology,structure_domain,wet_fraction,area_m2,perimeter_m,centroid_x,centroid_y,density_tpm3,ore_fraction,haul_distance_m,truck_hours,loader_hours,drill_duration_hr,charge_duration_hr,load_haul_duration_hr,total_duration_hr,development_priority,access_priority,dependency_pattern_ids,risk_flags,data_quality_flags,geometry_flags,why
1,D01,Day 1,D01,2026-06-01T06:00:00Z,2026-06-01T15:00:00Z,1,A-185-08-01,Ramp,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-02,Fleet B,Development / access material,128054.75,128054.75,0.0,1.279,1638.116,1412.591,Cu,54,616.271,12553.164,0.482,0.098,7.0,8.0,229.0,143.785,131.376,217.296,336.672,0.546,1.102,21.039,162.752,43.56,7.724,hard,high_grade_core,mineralised_porphyry,background,0.333,2935.244,255.685,363599.794,6591677.586,2.908,1.0,1352.455,80.034,91.468,8.804,2.615,91.468,102.887,100,1,,development_or_boundary_control;hard_digability;coarse_fragmentation_risk;wet_material_risk,,small_or_special_pattern,Access/development pattern scheduled early to open the bench.
2,D01,Day 1,D01,2026-06-01T15:00:00Z,2026-06-02T00:00:00Z,2,A-185-08-02,Slot,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-02,Fleet B,ROM pad - start-up slot,70949.126,70949.126,0.0,0.81,574.802,394.939,Cu,28,453.6,9922.712,0.482,0.14,7.0,8.0,229.0,143.086,130.718,211.454,327.407,0.554,0.964,18.412,99.305,52.56,5.975,medium,high_grade_core,mineralised_porphyry,main_fault,1.0,1757.533,177.169,363521.912,6591683.009,2.691,1.0,1361.125,44.343,50.678,6.48,2.067,50.678,59.225,95,2,1,development_or_boundary_control;coarse_fragmentation_risk;wet_material_risk,,small_or_special_pattern,Access/development pattern scheduled early to open the bench.
3,D02,Day 2,D02,2026-06-02T06:00:00Z,2026-06-02T15:00:00Z,4,A-185-08-04,Production,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-01,Fleet A,Crusher direct feed,138460.369,138460.369,0.0,1.127,1560.297,1145.6,Cu,60,972.0,22366.727,0.482,0.162,7.0,8.0,229.0,142.785,128.742,207.662,321.873,0.551,0.952,18.184,100.769,52.955,5.783,soft,high_grade_core,mineralised_porphyry,main_fault,1.0,3375.045,247.271,363580.746,6591733.743,2.735,1.0,1370.057,86.538,98.9,13.886,4.66,98.9,117.446,10,5,2,coarse_fragmentation_risk;wet_material_risk,,,Production pattern sequenced to maintain southern-to-northern bench progression and stable mill feed.
4,D02,Day 2,D02,2026-06-02T15:00:00Z,2026-06-03T00:00:00Z,7,A-185-08-07,Production,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-01,Fleet A,Crusher direct feed,142526.974,142526.974,0.0,1.16,1653.611,1255.437,Cu,61,988.2,22690.665,0.482,0.159,7.0,8.0,229.0,142.925,128.297,206.916,320.73,0.547,0.971,18.55,110.304,51.221,6.007,soft,high_grade_core,mineralised_porphyry,main_fault,0.806,3436.489,245.284,363623.519,6591731.095,2.765,1.0,1374.742,89.079,101.805,14.117,4.727,101.805,120.649,10,4,4,coarse_fragmentation_risk;wet_material_risk,,,Production pattern sequenced to maintain southern-to-northern bench progression and stable mill feed.
5,D03,Day 3,D03,2026-06-03T06:00:00Z,2026-06-03T15:00:00Z,3,A-185-08-03,Production,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-01,Fleet A,ROM pad,189637.39,189637.39,0.0,0.994,1885.362,1159.065,Cu,89,1441.8,33430.664,0.49,0.176,7.0,8.0,229.0,135.276,124.331,202.389,312.533,0.555,0.895,17.089,79.924,54.875,5.232,soft,high_grade_core,mineralised_porphyry,main_fault,1.0,4793.624,279.755,363529.529,6591738.36,2.637,1.0,1379.355,118.523,135.455,20.597,6.965,135.455,163.017,10,7,7,coarse_fragmentation_risk;wet_material_risk,,,Production pattern sequenced to maintain southern-to-northern bench progression and stable mill feed.
6,D03,Day 3,D03,2026-06-03T15:00:00Z,2026-06-04T00:00:00Z,9,A-185-08-09,Production,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-01,Fleet A,Crusher direct feed,180655.909,180655.909,0.0,1.228,2218.428,1794.051,Cu,77,1247.4,28853.914,0.482,0.16,7.0,8.0,229.0,142.852,128.506,207.271,321.277,0.549,1.0,19.1,123.543,49.473,6.342,soft,high_grade_core,mineralised_porphyry,main_fault,0.524,4289.232,264.932,363672.614,6591736.96,2.808,1.0,1384.159,112.91,129.04,17.82,6.011,129.04,152.871,10,6,3,coarse_fragmentation_risk;wet_material_risk,,,Production pattern sequenced to maintain southern-to-northern bench progression and stable mill feed.
7,D04,Day 4,D04,2026-06-04T06:00:00Z,2026-06-04T15:00:00Z,5,A-185-08-05,Production,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-01,Fleet A,ROM pad,149919.056,118096.545,31822.511,0.917,1082.906,662.712,Cu,68,1101.6,25383.837,0.482,0.169,7.0,8.0,229.0,142.776,128.719,207.615,321.8,0.551,0.984,18.801,106.05,50.851,6.424,soft,high_grade_core,mineralised_porphyry,main_fault,1.0,3737.859,250.521,363475.198,6591748.232,2.674,0.788,1390.96,93.699,107.085,15.737,5.288,107.085,128.11,10,8,9,coarse_fragmentation_risk;wet_material_risk,,,Production pattern sequenced to maintain southern-to-northern bench progression and stable mill feed.
8,D04,Day 4,D04,2026-06-04T15:00:00Z,2026-06-05T00:00:00Z,11,A-185-08-11,Production,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-01,Fleet A,Crusher direct feed,181050.164,181050.164,0.0,1.259,2279.123,1977.375,Cu,73,1182.6,26966.833,0.482,0.149,7.0,8.0,229.0,143.281,129.162,208.326,322.905,0.551,1.03,19.676,136.07,46.503,6.602,hard,high_grade_core,mineralised_porphyry,main_fault,0.233,4257.872,262.814,363727.301,6591748.72,2.835,1.0,1396.479,113.156,129.322,16.894,5.618,129.322,151.834,10,9,5,hard_digability;coarse_fragmentation_risk,,,Production pattern sequenced to maintain southern-to-northern bench progression and stable mill feed.
9,D05,Day 5,D05,2026-06-05T06:00:00Z,2026-06-05T15:00:00Z,6,A-185-08-06,Production,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-01,Fleet A,ROM pad,142468.489,142468.489,0.0,0.792,1127.846,651.176,Cu,64,1036.8,23813.808,0.482,0.167,7.0,8.0,229.0,142.806,129.022,208.095,322.541,0.553,0.947,18.081,95.47,52.188,6.044,medium,high_grade_core,mineralised_porphyry,background,1.0,3608.022,242.345,363424.541,6591763.266,2.632,1.0,1403.821,89.043,101.763,14.811,4.961,101.763,121.536,10,10,11,coarse_fragmentation_risk;wet_material_risk,,,Production pattern sequenced to maintain southern-to-northern bench progression and stable mill feed.
10,D05,Day 5,D05,2026-06-05T15:00:00Z,2026-06-06T00:00:00Z,10,A-185-08-10,Production,Site B / Pit A,Bench RL185 / BM v3,RL185-200,Demo Phase A,Pit A PB-01,Demo external scheduler,Demo external two-week balanced feed sequence,EX-01,Fleet A,Crusher direct feed,184929.23,184929.23,0.0,1.375,2542.966,2227.574,Cu,75,1215.0,28222.784,0.482,0.153,7.0,8.0,229.0,143.077,128.216,206.789,320.521,0.546,1.077,20.568,153.416,44.253,7.41,hard,high_grade_core,mineralised_porphyry,background,0.105,4288.002,265.59,363603.991,6591801.016,2.875,1.0,1396.286,115.581,132.092,17.357,5.88,132.092,155.329,10,13,6,hard_digability;coarse_fragmentation_risk,,,Production pattern sequenced to maintain southern-to-northern bench progression and stable mill feed.
