theme,driver,target,r,direction,strength,finding
Copper and cyanide,Cu in solution (ppm),NaCN consumption (t/d),0.583,Positive,Moderate,"Cu in solution (ppm) vs NaCN consumption (t/d): positive relationship (moderate, r=0.58). Higher dissolved Cu tends to coincide with higher cyanide consumption."
Copper and cyanide,Cu in solution (ppm),Specific NaCN (kg/t),0.669,Positive,Strong,"Cu in solution (ppm) vs Specific NaCN (kg/t): positive relationship (strong, r=0.67). Higher dissolved Cu tends to increase cyanide consumption intensity per tonne treated."
Copper and cyanide,Cu in solution (ppm),Free CN average (ppm),-0.393,Negative,Weak,"Cu in solution (ppm) vs Free CN average (ppm): negative relationship (weak, r=-0.39). Higher dissolved Cu appears to reduce the amount of free cyanide maintained in solution."
Copper and cyanide,Cu in solution (ppm),WAD CN average (g/L),0.989,Positive,Very strong,"Cu in solution (ppm) vs WAD CN average (g/L): positive relationship (very strong, r=0.99). Higher dissolved Cu is associated with higher WAD cyanide."
Copper and cyanide,Cu in solution (ppm),Estimated complexed CN (g/L),0.994,Positive,Very strong,"Cu in solution (ppm) vs Estimated complexed CN (g/L): positive relationship (very strong, r=0.99). Higher dissolved Cu is associated with more cyanide reporting to complexed/WAD form."
Copper and cyanide,Cu in solution (ppm),Gold recovery (%),-0.51,Negative,Moderate,"Cu in solution (ppm) vs Gold recovery (%): negative relationship (moderate, r=-0.51). If strongly negative, this suggests high dissolved Cu periods may also coincide with weaker recovery."
Copper and cyanide,Cu feed (ppm),NaCN consumption (t/d),0.445,Positive,Moderate,"Cu feed (ppm) vs NaCN consumption (t/d): positive relationship (moderate, r=0.45). This tests whether feed copper alone explains cyanide demand."
Tank 1 progression,cu_ppm_tk_1_s,cu_ppm_tk_1_e,,Decrease,Mean delta,Cu through Tank 1: mean change across Tank 1 = -81.996. This supports the interpretation that Tank 1 start/end samples represent progression through the tank.
Tank 1 progression,free_cn_ppm_tk_1_s,free_cn_ppm_tk_1_e,,Increase,Mean delta,Free CN through Tank 1: mean change across Tank 1 = 18.431. This supports the interpretation that Tank 1 start/end samples represent progression through the tank.
Tank 1 progression,wad_gpl_tk_1_s,wad_gpl_tk_1_e,,Decrease,Mean delta,WAD through Tank 1: mean change across Tank 1 = -0.287. This supports the interpretation that Tank 1 start/end samples represent progression through the tank.
